DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA-NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241004111,01/02/2024 12:00:00 AM,07/02/2021 12:00:00 AM,1520,10,West Valley,1044,2,354,THEFT OF IDENTITY,1822 0926 0928,21,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,18300    BURBANK                      BL,,34.1765,-118.5333
241705430,02/02/2024 12:00:00 AM,10/02/2022 12:00:00 AM,1405,17,Devonshire,1735,2,354,THEFT OF IDENTITY,1822 0930,48,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17000    LOS ALIMOS                   ST,,34.266,-118.5023
241905295,02/02/2024 12:00:00 AM,10/02/2022 12:00:00 AM,1345,19,Mission,1913,2,354,THEFT OF IDENTITY,1202 0928,72,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,13200    DE FOE                       AV,,34.3104,-118.4584
242104091,01/02/2024 12:00:00 AM,01/02/2022 12:00:00 AM,1525,21,Topanga,2177,2,354,THEFT OF IDENTITY,0377,64,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,21800    BURBANK                      BL,,34.173,-118.6023
241305526,02/02/2024 12:00:00 AM,12/22/2022 12:00:00 AM,1600,13,Newton,1341,1,330,BURGLARY FROM VEHICLE,1251 1307 1300,22,M,A,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,3400 S  GRAND                        AV,,34.0203,-118.2762
241505651,02/02/2024 12:00:00 AM,02/24/2022 12:00:00 AM,0050,15,N Hollywood,1516,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443,56,F,H,108,PARKING LOT,511,VERBAL THREAT,IC,Invest Cont,930,,,,6600    KRAFT                        AV,,34.1903,-118.3802
240804054,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1400,08,West LA,0832,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822,50,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,331,,,,1100 S  BARRINGTON                   AV,,34.0511,-118.4626
241004047,01/02/2024 12:00:00 AM,01/02/2023 12:00:00 AM,0305,10,West Valley,1004,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,7700    ETIWANDA                     AV,,34.2102,-118.5317
241104065,01/02/2024 12:00:00 AM,12/02/2023 12:00:00 AM,0100,11,Northeast,1136,1,480,BIKE - STOLEN,0344,41,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,480,,,,900    DEXTER                       ST,,34.116,-118.2101
240705693,02/08/2024 12:00:00 AM,02/02/2024 12:00:00 AM,1430,07,Wilshire,0713,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0385 1822,23,F,W,101,STREET,,,IC,Invest Cont,331,,,,400 N  ORANGE GROVE                 AV,,34.0782,-118.3604
240604026,01/02/2024 12:00:00 AM,12/19/2023 12:00:00 AM,0100,06,Hollywood,0666,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6200 W  SUNSET                       BL,,34.098,-118.3237
241304087,01/02/2024 12:00:00 AM,12/30/2023 12:00:00 AM,0100,13,Newton,1309,1,330,BURGLARY FROM VEHICLE,0344 0358 1307 1822,27,X,H,103,ALLEY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,1900    BAY                          ST,,34.0315,-118.2342
240404055,01/02/2024 12:00:00 AM,12/30/2023 12:00:00 AM,2040,04,Hollenbeck,0466,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,300 N  FICKETT                      ST,,34.0442,-118.2063
240804093,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1300,08,West LA,0842,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0358 0385,24,F,W,101,STREET,,,IC,Invest Cont,331,,,,1300 S  WESTGATE                     AV,,34.0455,-118.4619
241304067,01/02/2024 12:00:00 AM,12/08/2023 12:00:00 AM,2330,13,Newton,1307,1,520,VEHICLE - ATTEMPT STOLEN,1822 1609 1307,72,M,W,101,STREET,,,IC,Invest Cont,520,,,,900 E  8TH                          ST,,34.0365,-118.2468
241504094,01/02/2024 12:00:00 AM,11/15/2023 12:00:00 AM,0600,15,N Hollywood,1531,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,12500    MIRANDA                      ST,,34.1748,-118.4053
240204292,01/06/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1700,02,Rampart,0237,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1400    MIRAMAR                      ST,,34.0593,-118.261
240304105,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1345,03,Southwest,0325,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 2049 0910 1202,64,F,W,801,MTA BUS,,,IC,Invest Cont,440,,,,W  ADAMS                        BL,S  VERMONT                      AV,34.0328,-118.2916
241906319,03/02/2024 12:00:00 AM,02/23/2024 12:00:00 AM,1200,19,Mission,1925,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,POLK,SAN FERNANDO,34.2995,-118.4588
241404170,01/02/2024 12:00:00 AM,06/01/2023 12:00:00 AM,0001,14,Pacific,1425,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,70,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,3100    BUTLER                       AV,,34.0241,-118.4335
241705500,02/04/2024 12:00:00 AM,02/02/2024 12:00:00 AM,2000,17,Devonshire,1745,1,520,VEHICLE - ATTEMPT STOLEN,1202 1609 0329,63,M,O,101,STREET,,,IC,Invest Cont,520,,,,17200    DEVONSHIRE                   ST,,34.2611,-118.5158
240104068,01/02/2024 12:00:00 AM,07/15/2023 12:00:00 AM,1200,01,Central,0161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 W  8TH                          ST,,34.0479,-118.2612
241304053,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1200,13,Newton,1313,1,310,BURGLARY,1609 1402 0344 0329,50,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,998,,,1300 S  SAN PEDRO                    ST,,34.0328,-118.254
242104051,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,2000,21,Topanga,2128,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0385,45,M,H,101,STREET,223,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,420,,,,OSO                          AV,STAGG                        ST,34.2107,-118.5754
240205832,02/02/2024 12:00:00 AM,06/28/2023 12:00:00 AM,2125,02,Rampart,0205,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0104 0344 0325 1822,0,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,343,,,,600 N  DILLON                       ST,,34.0786,-118.2788
242105370,02/02/2024 12:00:00 AM,12/21/2023 12:00:00 AM,1258,21,Topanga,2187,1,330,BURGLARY FROM VEHICLE,1605 0344,27,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,21100    VENTURA                      BL,,34.167,-118.5928
241104113,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1900,11,Northeast,1117,1,330,BURGLARY FROM VEHICLE,0344 0358 0321 1605,50,F,H,101,STREET,,,IC,Invest Cont,330,,,,1600 N  AVENUE 45,,34.1261,-118.2192
240205776,02/02/2024 12:00:00 AM,09/19/2023 12:00:00 AM,1637,02,Rampart,0205,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104 0344,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,600 N  DILLON                       ST,,34.0786,-118.2788
240504053,01/02/2024 12:00:00 AM,12/15/2023 12:00:00 AM,0700,05,Harbor,0581,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2200 W  25TH                         ST,,33.727,-118.3242
241904068,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1700,19,Mission,1921,1,310,BURGLARY,0344 1606,0,X,X,217,AUTO REPAIR SHOP,,,IC,Invest Cont,310,,,,12900    SAN FERNANDO                 RD,,34.3098,-118.4729
240104322,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1558,01,Central,0111,1,310,BURGLARY,0344 0329 0321 1607,36,M,H,721,HIGH SCHOOL,,,IC,Invest Cont,310,,,,400 N  GRAND                        AV,,34.0595,-118.2451
240304130,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1700,03,Southwest,0326,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1800 W  ADAMS                        BL,,34.0327,-118.3032
241504053,01/02/2024 12:00:00 AM,12/30/2023 12:00:00 AM,0800,15,N Hollywood,1524,1,330,BURGLARY FROM VEHICLE,1822 0344 1609,48,F,O,108,PARKING LOT,,,IC,Invest Cont,330,,,,6200    LAUREL CANYON                BL,,34.1869,-118.3987
241004107,01/02/2024 12:00:00 AM,12/17/2023 12:00:00 AM,2230,10,West Valley,1029,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 1822 0344,25,M,W,101,STREET,,,IC,Invest Cont,331,,,,6800    GLORIA                       AV,,34.1939,-118.4793
241104053,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1200,11,Northeast,1146,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1900    BLAKE                        AV,,34.0983,-118.2436
240804050,01/02/2024 12:00:00 AM,12/25/2023 12:00:00 AM,1300,08,West LA,0811,1,310,BURGLARY,1822 0358 0344 0321,46,M,O,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,16600    CHARMEL                      LN,,34.0578,-118.5483
240504054,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1730,05,Harbor,0514,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600    EUDORA                       AV,,33.7958,-118.2807
241305510,02/02/2024 12:00:00 AM,11/13/2023 12:00:00 AM,1000,13,Newton,1309,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,2200    DAMON                        ST,,34.0287,-118.2333
241204124,01/02/2024 12:00:00 AM,12/27/2023 12:00:00 AM,1700,12,77th Street,1211,1,310,BURGLARY,0344 0329,53,M,B,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,5700    10TH                         AV,,33.9909,-118.3282
241204068,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1300,12,77th Street,1253,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,7200 S  HARVARD                      BL,,33.9746,-118.3068
241204141,01/02/2024 12:00:00 AM,12/06/2023 12:00:00 AM,1915,12,77th Street,1265,2,354,THEFT OF IDENTITY,0922 0929 0930,77,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1100 W  82ND                         ST,,33.9644,-118.2944
240804092,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1605,08,West LA,0872,1,480,BIKE - STOLEN,1202 0344 0346,63,M,K,108,PARKING LOT,,,IC,Invest Cont,480,,,,PACIFIC COAST,PACIFIC COAST,34.0262,-118.5157
241204110,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1300,12,77th Street,1258,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,35,F,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,626,,,,MANCHESTER                   AV,SAN PEDRO                    ST,33.9713,-118.2739
241206014,02/02/2024 12:00:00 AM,02/02/2024 12:00:00 AM,0500,12,77th Street,1248,2,354,THEFT OF IDENTITY,0100 0929 0930 1822 0922,26,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,900 W  65TH                         ST,,33.9801,-118.2893
242004039,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1735,20,Olympic,2019,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,BEVERLY                      BL,VIRGIL                       AV,34.0748,-118.2868
240804096,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,0100,08,West LA,0859,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1202 0358 0385,67,M,W,104,DRIVEWAY,,,IC,Invest Cont,331,,,,1700 S  SHERBOURNE                   DR,,34.0479,-118.3804
240504067,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,0140,05,Harbor,0516,1,520,VEHICLE - ATTEMPT STOLEN,1822 0329 0358,47,M,H,101,STREET,,,IC,Invest Cont,520,,,,1000 N  MARINE                       AV,,33.7828,-118.264
240108380,03/02/2024 12:00:00 AM,12/02/2023 12:00:00 AM,1930,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0344,24,M,A,102,SIDEWALK,,,IC,Invest Cont,440,,,,700 S  HOPE                         ST,,34.048,-118.2577
242004759,01/02/2024 12:00:00 AM,12/30/2023 12:00:00 AM,0257,20,Olympic,2053,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822 0344 2032,34,F,V,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,440,,,,1000 S  HOBART                       BL,,34.0526,-118.3052
241204091,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1400,12,77th Street,1242,1,310,BURGLARY,0344 1822 1602 0329 0321,0,X,X,251,RECYCLING CENTER,,,IC,Invest Cont,310,,,,2300    SOUTHWEST                    DR,,33.9829,-118.3187
240704177,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1951,07,Wilshire,0722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822,0,X,X,417,THE BEVERLY CONNECTION,,,IC,Invest Cont,442,,,,8400    BEVERLY                      BL,,34.0761,-118.3732
242004040,01/02/2024 12:00:00 AM,12/28/2023 12:00:00 AM,1500,20,Olympic,2015,1,648,ARSON,1822 1501,0,X,X,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,648,,,,100 N  NEW HAMPSHIRE                AV,,34.0727,-118.2929
241204066,01/02/2024 12:00:00 AM,12/30/2023 12:00:00 AM,2000,12,77th Street,1255,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1000 W  78TH                         ST,,33.9694,-118.2919
240604077,01/02/2024 12:00:00 AM,08/11/2023 12:00:00 AM,1200,06,Hollywood,0637,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1202 1822 0344,71,M,A,108,PARKING LOT,,,IC,Invest Cont,440,,,,1700 N  BRONSON                      AV,,34.1017,-118.318
240404047,01/02/2024 12:00:00 AM,12/18/2023 12:00:00 AM,1400,04,Hollenbeck,0421,2,354,THEFT OF IDENTITY,0100 0929 0930,31,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,400 S  AVENUE 20,,34.0687,-118.2182
242104056,01/02/2024 12:00:00 AM,12/30/2023 12:00:00 AM,0905,21,Topanga,2189,2,755,BOMB SCARE,0404,0,M,W,730,SYNAGOGUE/TEMPLE,501,BOMB THREAT,IC,Invest Cont,755,,,,20400    VENTURA                      BL,,34.1686,-118.5773
241804074,01/02/2024 12:00:00 AM,12/16/2023 12:00:00 AM,0100,18,Southeast,1849,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344,41,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,331,,,,2100 E  114TH                        ST,,33.9315,-118.2349
241605957,03/02/2024 12:00:00 AM,12/15/2023 12:00:00 AM,1632,16,Foothill,1638,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,47,F,H,721,HIGH SCHOOL,,,IC,Invest Cont,440,,,,10600    PLAINVIEW                    AV,,34.2606,-118.2979
241304063,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1400,13,Newton,1333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,29TH                         ST,TRINITY                      ST,34.0194,-118.2635
240604078,01/02/2024 12:00:00 AM,12/09/2023 12:00:00 AM,2000,06,Hollywood,0646,2,434,FALSE IMPRISONMENT,1202 0913 1501,66,M,W,102,SIDEWALK,,,IC,Invest Cont,434,,,,6700    HOLLYWOOD                    BL,,34.1016,-118.3361
240404029,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1800,04,Hollenbeck,0497,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1300 S  GRANDE VISTA                 AV,,34.0217,-118.2095
240108329,03/02/2024 12:00:00 AM,12/23/2023 12:00:00 AM,1200,01,Central,0131,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 S  FIGUEROA                     ST,,34.0569,-118.254
241804152,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,2200,18,Southeast,1862,1,330,BURGLARY FROM VEHICLE,1822 1601 1609 0344 0329,30,F,H,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,330,,,,S  MAIN,E  120TH                        ST,33.9237,-118.2739
241404379,01/02/2024 12:00:00 AM,11/10/2023 12:00:00 AM,1447,14,Pacific,1475,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,45,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,8200    WESTLAWN                     AV,,33.9647,-118.4081
240404044,01/02/2024 12:00:00 AM,12/15/2023 12:00:00 AM,1530,04,Hollenbeck,0464,1,310,BURGLARY,0329 0321,0,X,X,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,310,,,,2200 E  3RD                          ST,,34.0425,-118.2135
242004864,01/02/2024 12:00:00 AM,08/02/2023 12:00:00 AM,1655,20,Olympic,2049,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 0346 0216 2032,38,M,H,124,BUS STOP,,,IC,Invest Cont,440,,,,S  VERMONT,W  8TH                          ST,34.0574,-118.2916
240806457,03/02/2024 12:00:00 AM,02/28/2023 12:00:00 AM,1209,08,West LA,0889,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822,0,X,X,402,MARKET,,,IC,Invest Cont,442,,,,1800    LA CIENEGA                   BL,,34.0425,-118.3818
241504052,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1930,15,N Hollywood,1539,1,330,BURGLARY FROM VEHICLE,1822 1609 0344,32,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,5900    VINELAND                     AV,,34.1776,-118.3703
240504131,01/02/2024 12:00:00 AM,12/20/2023 12:00:00 AM,1200,05,Harbor,0566,2,354,THEFT OF IDENTITY,0377 0928 0929,23,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1200 S  PALOS VERDES                 ST,,33.7333,-118.2814
240504038,01/02/2024 12:00:00 AM,12/30/2023 12:00:00 AM,1200,05,Harbor,0551,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,300    MIRALESTE                    DR,,33.7421,-118.3197
241704067,01/02/2024 12:00:00 AM,12/18/2023 12:00:00 AM,0001,17,Devonshire,1764,1,310,BURGLARY,0344 1607,56,M,H,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,9300    SHIRLEY                      AV,,34.2391,-118.558
241304088,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1600,13,Newton,1341,1,310,BURGLARY,1604 0329 0344 1822,43,M,W,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,3700 S  HILL                         ST,,34.0163,-118.2771
241704112,01/02/2024 12:00:00 AM,12/04/2023 12:00:00 AM,1200,17,Devonshire,1728,2,649,DOCUMENT FORGERY / STOLEN FELONY,1202 1822 0923,82,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,10700    AMIGO                        AV,,34.2655,-118.5383
240204066,01/02/2024 12:00:00 AM,12/27/2023 12:00:00 AM,1500,02,Rampart,0245,1,330,BURGLARY FROM VEHICLE,0344 1822,36,F,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,400 S  LAKE                         ST,,34.0633,-118.2738
240704077,01/02/2024 12:00:00 AM,12/30/2023 12:00:00 AM,2300,07,Wilshire,0778,1,330,BURGLARY FROM VEHICLE,0344 1822 0386,33,M,K,101,STREET,,,IC,Invest Cont,330,,,,1600    6TH                          AV,,34.0418,-118.3269
241404375,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1930,14,Pacific,1431,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,23,F,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,00    WINDWARD                     AV,,33.9875,-118.4726
241104083,01/02/2024 12:00:00 AM,10/27/2023 12:00:00 AM,1523,11,Northeast,1151,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1822 0500 0541,36,M,W,701,HOSPITAL,308,STICK,IC,Invest Cont,815,,,,4800 W  SUNSET                       BL,,34.0982,-118.294
241207698,03/02/2024 12:00:00 AM,12/04/2023 12:00:00 AM,2330,12,77th Street,1215,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,31,F,H,101,STREET,,,IC,Invest Cont,331,,,,S  BUDLONG                      AV,W  55TH                         ST,33.9923,-118.2959
241305513,02/02/2024 12:00:00 AM,09/01/2023 12:00:00 AM,1245,13,Newton,1313,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,400 E  WASHINGTON                   BL,,34.0295,-118.2615
241604038,01/02/2024 12:00:00 AM,12/30/2023 12:00:00 AM,1000,16,Foothill,1621,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,WEIDNER,REMICK,34.262,-118.4385
240506330,03/02/2024 12:00:00 AM,12/21/2023 12:00:00 AM,1200,05,Harbor,0509,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1600    242ND                        PL,,33.8049,-118.3054
241705361,02/02/2024 12:00:00 AM,12/19/2023 12:00:00 AM,1300,17,Devonshire,1764,1,310,BURGLARY,0352 0344 0329 1607,29,M,H,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,9300    SHIRLEY                      AV,,34.2391,-118.558
242004043,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1800,20,Olympic,2091,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2100    CIMARRON                     ST,,34.0381,-118.3155
241305534,02/02/2024 12:00:00 AM,06/24/2023 12:00:00 AM,2240,13,Newton,1317,1,352,PICKPOCKET,0344,19,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,352,,,,1700 E  16TH                         ST,,34.0233,-118.2424
241804064,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1300,18,Southeast,1821,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,103RD                        ST,DENVER                       AV,33.9431,-118.2848
241904071,01/02/2024 12:00:00 AM,12/22/2023 12:00:00 AM,1530,19,Mission,1994,1,310,BURGLARY,0321,0,X,X,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,310,,,,15000    ROSCOE                       BL,,34.2215,-118.4592
241204106,01/02/2024 12:00:00 AM,10/26/2023 12:00:00 AM,1100,12,77th Street,1268,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 1202 1273,78,F,H,514,GROUP HOME,,,IC,Invest Cont,440,,,,100 W  81ST                         ST,,33.9659,-118.2739
241705460,02/02/2024 12:00:00 AM,02/07/2023 12:00:00 AM,1200,17,Devonshire,1701,2,354,THEFT OF IDENTITY,1822,49,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,20600    BLUEBIRD                     CT,,34.2971,-118.5826
240704060,01/02/2024 12:00:00 AM,12/21/2023 12:00:00 AM,1700,07,Wilshire,0747,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1100 S  CITRUS                       AV,,34.0551,-118.3419
241405446,02/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1400,14,Pacific,1499,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,11500    AVIATION                     BL,,33.93,-118.3784
241705360,02/02/2024 12:00:00 AM,12/09/2023 12:00:00 AM,0800,17,Devonshire,1764,1,310,BURGLARY,0329 1607,36,F,O,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,9300    SHIRLEY                      AV,,34.2391,-118.558
240805385,02/04/2024 12:00:00 AM,02/02/2024 12:00:00 AM,1800,08,West LA,0835,1,330,BURGLARY FROM VEHICLE,0344 1300,25,M,W,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,330,,,,1900    SELBY                        AV,,34.0498,-118.4328
240404048,01/02/2024 12:00:00 AM,11/16/2023 12:00:00 AM,0340,04,Hollenbeck,0449,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2400    MARENGO                      ST,,34.0546,-118.2028
241507028,03/02/2024 12:00:00 AM,12/12/2023 12:00:00 AM,0001,15,N Hollywood,1503,2,354,THEFT OF IDENTITY,1822 0935,48,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6900    BELLINGHAM                   AV,,34.1958,-118.3987
241604057,01/02/2024 12:00:00 AM,12/28/2023 12:00:00 AM,0805,16,Foothill,1613,2,354,THEFT OF IDENTITY,0929 0930 0935 0926,58,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11300    DRONFIELD                    TR,,34.277,-118.4031
241605092,02/05/2024 12:00:00 AM,02/02/2024 12:00:00 AM,0616,16,Foothill,1613,2,354,THEFT OF IDENTITY,0344 0922,44,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12500    VAN NUYS                     BL,,34.2785,-118.4051
240704071,01/02/2024 12:00:00 AM,12/21/2023 12:00:00 AM,2000,07,Wilshire,0717,1,330,BURGLARY FROM VEHICLE,1309 0344,30,F,W,101,STREET,,,IC,Invest Cont,330,,,,300 N  SYCAMORE                     AV,,34.0762,-118.3429
242104085,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1415,21,Topanga,2145,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1606,32,M,W,101,STREET,,,IC,Invest Cont,331,,,,6400    RANDI                        AV,,34.1865,-118.6103
